File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Nb,Nb Err,Sn,Sn Err,Cs,Cs Err,Ba,Ba Err,Ta,Ta Err,W,W Err,Tl,Tl Err,Pb,Pb Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1/02/2006 13:49,Supervisor,MAD213,599,Li Index,Li Index,60,,0,,0,,0,< LOD,0.1434,4.696,0.0968,29.6831,0.2069,0.0449,0.0145,0.4024,0.0122,1.1852,0.0143,0.8998,0.0115,< LOD,0.0016,0.0025,0.0018,0.005,0.0006,0.0022,0.0004,< LOD,0.0005,0.0006,0.0005,< LOD,0.0014,< LOD,0.0038,< LOD,0.0099,< LOD,0.0012,< LOD,0.0032,< LOD,0.001,0.0055,0.0016,0.0044,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1/02/2006 13:50,Supervisor,MAD213,599.5,Li Index,Li Index,60,,0,,0,,0,< LOD,0.1538,5.6005,0.1019,35.3337,0.2337,0.0309,0.0139,0.1751,0.0088,5.3468,0.0283,0.2602,0.0088,< LOD,0.0016,0.002,0.0018,0.0487,0.0015,0.0012,0.0003,0.0006,0.0005,0.003,0.0005,0.0016,0.0012,< LOD,0.0043,< LOD,0.0092,< LOD,0.0011,< LOD,0.0035,< LOD,0.0011,0.0056,0.0015,0.0333,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1/02/2006 13:52,Supervisor,MAD213,600,Li Index,Li Index,60,,0,,0,,0,< LOD,0.1547,4.1332,0.0929,27.6191,0.1991,0.0218,0.0141,0.5632,0.0143,1.0043,0.0134,0.8305,0.0112,0.0025,0.0017,< LOD,0.0018,0.0184,0.001,0.0021,0.0004,< LOD,0.0006,0.0075,0.0006,0.0015,0.0013,0.0037,0.0035,< LOD,0.0095,< LOD,0.0013,< LOD,0.0035,< LOD,0.001,0.0088,0.0018,0.0322,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1/02/2006 13:54,Supervisor,MAD213,600.5,Li Index,Li Index,60,,0,,0,,0,0.1825,0.1028,1.2914,0.0501,14.3007,0.1332,0.0133,0.0095,0.04,0.0053,0.8696,0.012,0.1234,0.0048,0.0021,0.0013,< LOD,0.0013,0.0306,0.0019,0.0017,0.0003,0.0013,0.0005,0.0006,0.0003,< LOD,0.0011,< LOD,0.002,< LOD,0.0073,< LOD,0.001,< LOD,0.0058,< LOD,0.0014,0.0046,0.0014,0.017,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1/02/2006 13:55,Supervisor,MAD213,601,Li Index,Li Index,60,,0,,0,,0,0.2442,0.1401,3.6723,0.0862,29.5368,0.2058,0.0687,0.0145,0.0905,0.0071,1.1052,0.0138,0.6406,0.0099,0.0038,0.0017,0.0022,0.0018,0.0158,0.0009,0.0115,0.0007,< LOD,0.0006,0.0027,0.0005,< LOD,0.0013,0.0037,0.0034,0.0168,0.0095,< LOD,0.0012,< LOD,0.0035,< LOD,0.001,0.01,0.0017,0.0162,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1/02/2006 13:57,Supervisor,MAD213,601.5,Li Index,Li Index,60,,0,,0,,0,< LOD,0.1483,5.0523,0.099,26.5991,0.1953,0.0383,0.0152,0.0698,0.0074,2.4012,0.02,0.8422,0.0117,0.0312,0.003,0.0026,0.002,0.0252,0.0011,0.0362,0.001,0.0052,0.0011,< LOD,0.0004,0.0027,0.0014,< LOD,0.0039,0.174,0.0117,< LOD,0.0014,< LOD,0.0036,< LOD,0.001,0.0076,0.0017,0.0134,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1/02/2006 13:58,Supervisor,MAD213,602,Li Index,Li Index,60,,0,,0,,0,0.1652,0.14,6.9847,0.1114,28.5211,0.2017,0.0573,0.0137,0.1247,0.0077,3.3961,0.023,0.8083,0.0116,0.0017,0.0016,0.0022,0.0018,0.0306,0.0013,0.0366,0.001,< LOD,0.0009,< LOD,0.0004,0.0025,0.0013,< LOD,0.0039,0.2553,0.0121,< LOD,0.0012,< LOD,0.0038,< LOD,0.0012,0.0055,0.0016,0.0153,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1/02/2006 14:00,Supervisor,MAD213,602.5,Li Index,Li Index,60,,0,,0,,0,0.1589,0.1286,2.9308,0.0755,26.7845,0.1933,0.0378,0.0121,0.4329,0.0123,2.2655,0.019,0.4221,0.0086,0.0016,0.0014,< LOD,0.0014,0.0327,0.0016,0.014,0.0007,0.0086,0.0009,< LOD,0.0004,< LOD,0.0011,< LOD,0.0031,0.1667,0.0104,< LOD,0.001,< LOD,0.0044,< LOD,0.0013,0.0026,0.0013,0.0165,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1/02/2006 14:01,Supervisor,MAD213,603,Li Index,Li Index,60,,0,,0,,0,0.247,0.1573,4.9155,0.0959,22.3102,0.1751,0.0373,0.0145,0.073,0.0072,2.7815,0.0212,1.1344,0.013,0.0034,0.0017,0.0021,0.0018,0.041,0.0017,0.0362,0.001,0.0124,0.0012,0.002,0.0004,< LOD,0.0013,< LOD,0.0034,0.1186,0.0103,< LOD,0.0013,< LOD,0.0046,< LOD,0.0013,0.0064,0.0016,0.0265,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1/02/2006 14:03,Supervisor,MAD213,603.5,Li Index,Li Index,60,,0,,0,,0,0.263,0.1185,4.3263,0.0916,27.8918,0.01826,0.0435,0.0124,0.1001,0.0074,0.9529,0.0102,0.4064,0.0072,0.0025,0.0013,< LOD,0.0014,0.0363,0.0025,0.0114,0.0006,0.006,0.0008,< LOD,0.0002,< LOD,0.0011,< LOD,0.0017,0.0896,0.0084,< LOD,0.001,< LOD,0.008,< LOD,0.0021,0.0028,0.0014,0.0187,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1/02/2006 14:04,Supervisor,MAD213,604,Li Index,Li Index,60,,0,,0,,0,< LOD,0.1325,4.9418,0.0964,32.5157,0.2187,0.0899,0.0143,0.0505,0.0059,2.7275,0.0207,0.5165,0.0097,0.0026,0.0016,< LOD,0.0016,0.0305,0.0013,0.0304,0.001,< LOD,0.0009,< LOD,0.0004,0.0015,0.0012,< LOD,0.004,0.2273,0.012,< LOD,0.0011,< LOD,0.0035,< LOD,0.0011,0.0056,0.0015,0.0154,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1/02/2006 14:06,Supervisor,MAD213,604.5,Li Index,Li Index,60,,0,,0,,0,0.2676,0.1418,4.4752,0.0927,37.1432,0.2404,0.0522,0.0134,0.0693,0.0064,3.076,0.022,0.3357,0.0087,0.003,0.0016,< LOD,0.0016,0.0325,0.0013,0.028,0.0009,0.0097,0.0011,< LOD,0.0005,< LOD,0.0012,< LOD,0.0041,0.1891,0.0115,< LOD,0.0011,< LOD,0.0037,< LOD,0.0012,0.0039,0.0014,0.0175,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1/02/2006 14:07,Supervisor,MAD213,605,Li Index,Li Index,60,,0,,0,,0,7.169,0.3803,5.0996,0.0817,19.0719,0.1689,0.7302,0.0373,0.074,0.0082,5.691,0.0306,3.8516,0.0243,0.0076,0.0019,< LOD,0.0016,0.0484,0.002,0.0797,0.0013,0.0108,0.0014,0.006,0.0005,< LOD,0.0011,< LOD,0.0037,0.2038,0.0103,< LOD,0.0012,< LOD,0.0061,< LOD,0.0016,0.0015,0.0013,0.0425,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1/02/2006 14:09,Supervisor,MAD213,605.5,Li Index,Li Index,60,,0,,0,,0,4.6419,0.3229,4.0425,0.0773,15.5773,0.1502,0.7346,0.0374,0.2072,0.0111,4.3795,0.0271,3.4024,0.0222,0.0056,0.0017,< LOD,0.0016,0.04,0.0021,0.0462,0.0011,0.0048,0.0011,0.0039,0.0004,< LOD,0.0011,< LOD,0.0031,0.1603,0.0096,< LOD,0.0011,< LOD,0.0072,< LOD,0.0017,0.0029,0.0015,0.0318,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1/02/2006 14:10,Supervisor,MAD213,606,Li Index,Li Index,60,,0,,0,,0,0.9915,0.1955,4.8859,0.0953,32.8446,0.2259,0.7862,0.0354,0.0794,0.0072,4.8674,0.0276,1.7116,0.0168,0.0067,0.0019,< LOD,0.0017,0.0288,0.0015,0.0366,0.001,0.0553,0.0019,0.0032,0.0005,< LOD,0.0011,< LOD,0.0044,0.3631,0.0129,< LOD,0.0011,< LOD,0.0053,< LOD,0.0016,0.0038,0.0015,0.0242,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1/02/2006 14:12,Supervisor,MAD213,606.5,Li Index,Li Index,60,,0,,0,,0,0.1923,0.1375,9.8763,0.1302,33.5836,0.2241,0.0309,0.0124,0.0983,0.0069,2.988,0.0217,1.2077,0.0138,0.0062,0.0019,< LOD,0.0017,0.0314,0.0012,0.045,0.0011,< LOD,0.001,0.0005,0.0005,0.0027,0.0013,< LOD,0.0045,0.3131,0.0131,< LOD,0.0012,< LOD,0.0036,< LOD,0.0012,0.0058,0.0016,0.0171,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Cs,Cs Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Multiplier,Cal Check,,
27,1/02/2006 7:06,Supervisor,MAD213,607,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.2778,0.1479,7.556,0.1171,33.3553,0.2237,0.0607,0.0143,0.0851,0.0068,2.2545,0.0192,1.3117,0.0142,,,,,,,,,,,,,,,,,0.003,0.0017,0.0024,0.0018,,,,,0.0293,0.0013,0.0515,0.0012,,,0.0081,0.0013,< LOD,0.0005,,,,,,,,,,,,,,,0.0022,0.0012,,,,,< LOD,0.0042,0.2053,0.0118,,,< LOD,0.0012,< LOD,0.0041,,,,,,,,,,,< LOD,0.0012,0.0048,0.0015,,,,,3,Passed,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Nb,Nb Err,Sn,Sn Err,Cs,Cs Err,Ba,Ba Err,Ta,Ta Err,W,W Err,Tl,Tl Err,Pb,Pb Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1/02/2006 14:14,Supervisor,MAD213,607.5,Li Index,Li Index,51,,0,,0,,0,0.3464,0.1504,6.5692,0.1085,29.0165,0.2041,0.0649,0.014,0.1056,0.0074,3.1808,0.0223,0.6744,0.0108,0.0055,0.0021,< LOD,0.0021,0.0349,0.0016,0.0292,0.0011,< LOD,0.001,< LOD,0.0005,< LOD,0.0015,0.0053,0.0047,0.215,0.014,< LOD,0.0014,< LOD,0.0043,< LOD,0.0014,0.0064,0.0019,0.018,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1/02/2006 14:15,Supervisor,MAD213,608,Li Index,Li Index,60,,0,,0,,0,< LOD,0.135,4.0647,0.09,40.2738,0.2547,0.013,0.0116,0.0316,0.0053,2.6068,0.0203,0.3002,0.0083,0.0021,0.0016,< LOD,0.0017,0.0315,0.0012,0.0166,0.0008,0.0039,0.0009,< LOD,0.0005,< LOD,0.0012,< LOD,0.0044,0.2506,0.0126,< LOD,0.0011,< LOD,0.0035,< LOD,0.0011,0.0033,0.0013,0.0164,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1/02/2006 14:17,Supervisor,MAD213,608.5,Li Index,Li Index,60,,0,,0,,0,0.1949,0.157,7.1855,0.1174,32.2531,0.221,0.2325,0.021,0.0286,0.0062,1.1711,0.0147,1.277,0.0141,0.0074,0.0019,< LOD,0.0016,0.0201,0.001,0.0295,0.001,0.0356,0.0016,0.0017,0.0005,0.0017,0.0013,< LOD,0.0041,0.2138,0.0122,< LOD,0.0012,< LOD,0.0037,< LOD,0.0012,0.0031,0.0014,0.0152,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1/02/2006 14:18,Supervisor,MAD213,609,Li Index,Li Index,58,,0,,0,,0,0.2385,0.1233,3.1307,0.0773,20.2376,0.1629,< LOD,0.0104,0.049,0.0058,1.2851,0.0146,0.4722,0.0084,0.0028,0.0015,< LOD,0.0015,0.0316,0.0017,0.0153,0.0007,0.004,0.0009,< LOD,0.0003,< LOD,0.0012,< LOD,0.0027,0.1516,0.0104,< LOD,0.0011,< LOD,0.005,< LOD,0.0014,0.0035,0.0015,0.0166,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1/02/2006 14:20,Supervisor,MAD213,609.5,Li Index,Li Index,60,,0,,0,,0,0.2648,0.1447,4.4641,0.0935,37.8141,0.2436,0.0949,0.0149,0.0406,0.0056,2.438,0.0197,0.5674,0.0101,0.0031,0.0016,0.0019,0.0017,0.0367,0.0014,0.021,0.0008,0.0092,0.0011,< LOD,0.0005,< LOD,0.0012,0.0061,0.0041,0.2239,0.0121,< LOD,0.0011,< LOD,0.0037,< LOD,0.0012,0.0044,0.0014,0.0196,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1/02/2006 14:21,Supervisor,MAD213,610,Li Index,Li Index,60,,0,,0,,0,0.3359,0.1444,3.5737,0.0844,28.1107,0.2,0.0353,0.0128,0.07,0.0066,1.39,0.0153,0.5917,0.0097,0.0043,0.0017,< LOD,0.0016,0.0267,0.0014,0.0189,0.0008,0.0301,0.0014,0.001,0.0004,< LOD,0.0012,< LOD,0.0033,0.1437,0.0107,< LOD,0.0011,< LOD,0.0044,< LOD,0.0013,0.0039,0.0014,0.0163,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1/02/2006 14:22,Supervisor,MAD213,610.5,Li Index,Li Index,60,,0,,0,,0,< LOD,0.1395,5.9703,0.1044,39.3057,0.2511,0.0451,0.0127,0.0625,0.0061,5.1456,0.0277,0.2051,0.0084,< LOD,0.0022,< LOD,0.0021,0.0587,0.0023,0.0056,0.0007,< LOD,0.0008,0.0027,0.0007,< LOD,0.0016,< LOD,0.0061,0.1119,0.0145,< LOD,0.0014,< LOD,0.0051,< LOD,0.0017,0.0051,0.002,0.0376,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1/02/2006 14:27,Supervisor,MAD213,611,Li Index,Li Index,60,,0,,0,,0,< LOD,0.1277,5.3453,0.1018,30.7822,0.2103,0.018,0.0116,0.0781,0.0065,0.3046,0.008,0.8211,0.0108,0.0015,0.0014,0.0023,0.0017,0.0047,0.0006,0.0051,0.0005,< LOD,0.0005,< LOD,0.0004,< LOD,0.0013,< LOD,0.0034,< LOD,0.0093,< LOD,0.0012,< LOD,0.0033,< LOD,0.001,0.0031,0.0014,0.0032,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1/02/2006 14:28,Supervisor,MAD213,611.5,Li Index,Li Index,55,,0,,0,,0,< LOD,0.1392,5.9385,0.1078,38.3525,0.2456,0.028,0.0124,0.0807,0.0065,0.333,0.0085,0.9798,0.0122,< LOD,0.0018,0.0023,0.002,0.0036,0.0006,0.0076,0.0006,< LOD,0.0006,0.0006,0.0006,0.0019,0.0014,< LOD,0.0045,< LOD,0.0112,< LOD,0.0013,< LOD,0.0036,< LOD,0.0011,0.0043,0.0015,0.0037,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1/02/2006 14:30,Supervisor,MAD213,612,Li Index,Li Index,60,,0,,0,,0,0.1905,0.1426,6.4496,0.1097,35.6119,0.2338,0.0288,0.0123,0.049,0.0059,2.2755,0.0193,0.6068,0.0105,0.0024,0.0017,0.0023,0.0018,0.0282,0.0012,0.0054,0.0005,< LOD,0.0005,0.0019,0.0005,0.0013,0.0012,< LOD,0.004,0.0231,0.0098,< LOD,0.0012,< LOD,0.0035,< LOD,0.0011,0.0057,0.0015,0.0198,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
